cheats.editions.for.sims.all; DefaultHandlerForMethod:1; DefaultHandlerForMethod_async:0; HandlerForMethod:1; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.hikvision.ivms5060lite; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
com.nicegame.stickpro; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
org.vfgamestudio.OffRoadRacing; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.artcom.Hoccer; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:1; BindToLocalhost:1; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:1;
ytdevelopments.smartmerge; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:0;
com.eliteapp.ZXContacts; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:1; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; WebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.tencent.reading; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:1; startWithOptions:1; BindToLocalhost:1; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
iFl1; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
cn.dict.sccs-xhtjycd; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:1; GCDWebUploader:0;
com.kingdee.MyMoney; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
com.JunboJiaApps.Folder; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
com.yuansen.ManHuaDaQuan; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
com.meelive.ingkee; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:1; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.capablebits.imagetransfer; DefaultHandlerForMethod:1; DefaultHandlerForMethod_async:1; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:1; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
cn.dict.sw-xxzd; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:1; GCDWebUploader:0;
com.jbinary.magiclockscreenlite; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:1; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebShare:1; GCDWebDAVServer:0; GCDWebUploader:1;
com.scribd.iscribd; DefaultHandlerForMethod:1; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:1; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.gong.ji; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:1; HandlerForMethod:1; HandlerForMethod_reg:1; startWithOptions:1; BindToLocalhost:1; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:0;
acare.unblockcargames; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:1; BindToLocalhost:1; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.fe66.slgame122ad; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:1; startWithOptions:1; BindToLocalhost:1; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.sep.sep3; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:1; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:1;
com.115.115netdisk; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:1; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.storeuser1.tangchao; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
com.xiushuang.MC; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.picooc.picooc; DefaultHandlerForMethod:1; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:1;
com.yunos.tv.tvhelper; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; TVHWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.nbcuni.nbc.portal; DefaultHandlerForMethod:1; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
video.2.audio.com.icon.limited; DefaultHandlerForMethod:1; DefaultHandlerForMethod_async:0; HandlerForMethod:1; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
cn.17PaiPai.PP; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:1; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; ITWebUploadServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
cn.dict.sw-xxzczjcd; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:1; GCDWebUploader:0;
com.airfrance.store.youjoon; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:1; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:0;
me.luckyvest.9b0hVd; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:0;
com.gil.dropboxnplay1; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:0; GCDWebDAVServer:0; GCDWebUploader:1;
com.lvxian.guahao; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:0; startWithOptions:0; BindToLocalhost:0; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
com.la.LAEducation; DefaultHandlerForMethod:0; DefaultHandlerForMethod_async:0; HandlerForMethod:0; HandlerForMethod_reg:1; startWithOptions:1; BindToLocalhost:1; isObfuscated:0; GCDWebServer:1; GCDWebDAVServer:0; GCDWebUploader:0;
